model_id,strategy,n_samples,target_precision,confidence_threshold,total_evaluated_fields,accepted_fields,coverage,observed_precision,review_fields,denominator_status,evidence_status,source_artifact,source_sha256,notes
models/gemini-2.0-flash,Pad,20,0.95,,3682,,,,,historical_v7_3682_rows_noncanonical_target_3684,recomputed_historical_target_not_met,chat2rec_analysis/analysis - v7/outputs/consensus_reliability_analysis/consensus_shift_data.csv,e562e96ed5dede565e0f88746be37367ae9c21e0dde84fc9f18a394182bf804f,No empirical raw-agreement threshold in this historical v7 source achieves the descriptive 95% precision target; no operating point is fabricated.
models/gemini-2.0-flash,Grid Warp,20,0.95,0.96666666666666679,3682,1487,0.40385659967409016,0.95225285810356419,2195,historical_v7_3682_rows_noncanonical_target_3684,recomputed_historical_noncanonical,chat2rec_analysis/analysis - v7/outputs/consensus_reliability_analysis/consensus_gw_data.csv,eaee8bb37329e5e5c32177bbe5287ce0a884148d5819e60bc2c38d44deb0d623,"Descriptive 95% target for this offline table, not a frozen modern-test target; maximum historical coverage among empirical thresholds meeting the target."
gemini-3.7-flash,unchanged_3,3,0.95,,,,,,,unavailable_modern_screen_blocked,blocked_unavailable,local_agent/EXPERIMENT_MATRIX.md,,"No modern PA responses exist. Provider calls are outside this offline task and the source-image/hash, canonical-filter, parser, mask/render, route-smoke, and authorization gates remain closed."
gemini-3.7-flash,Pad,3,0.95,,,,,,,unavailable_modern_screen_blocked,blocked_unavailable,local_agent/EXPERIMENT_MATRIX.md,,"No modern PA responses exist. Provider calls are outside this offline task and the source-image/hash, canonical-filter, parser, mask/render, route-smoke, and authorization gates remain closed."
gemini-3.7-flash,Grid Warp,3,0.95,,,,,,,unavailable_modern_screen_blocked,blocked_unavailable,local_agent/EXPERIMENT_MATRIX.md,,"No modern PA responses exist. Provider calls are outside this offline task and the source-image/hash, canonical-filter, parser, mask/render, route-smoke, and authorization gates remain closed."
gemini-3.7-flash,visual_mixed_6,6,0.95,,,,,,,unavailable_modern_screen_blocked,blocked_unavailable,local_agent/EXPERIMENT_MATRIX.md,,"No modern PA responses exist. Provider calls are outside this offline task and the source-image/hash, canonical-filter, parser, mask/render, route-smoke, and authorization gates remain closed."
sagemaker-qwen3-vl-8b-instruct-fp8,unchanged_3,3,0.95,,,,,,,unavailable_modern_screen_blocked,blocked_unavailable,local_agent/EXPERIMENT_MATRIX.md,,"No modern PA responses exist. Provider calls are outside this offline task and the source-image/hash, canonical-filter, parser, mask/render, route-smoke, and authorization gates remain closed."
sagemaker-qwen3-vl-8b-instruct-fp8,Pad,3,0.95,,,,,,,unavailable_modern_screen_blocked,blocked_unavailable,local_agent/EXPERIMENT_MATRIX.md,,"No modern PA responses exist. Provider calls are outside this offline task and the source-image/hash, canonical-filter, parser, mask/render, route-smoke, and authorization gates remain closed."
sagemaker-qwen3-vl-8b-instruct-fp8,Grid Warp,3,0.95,,,,,,,unavailable_modern_screen_blocked,blocked_unavailable,local_agent/EXPERIMENT_MATRIX.md,,"No modern PA responses exist. Provider calls are outside this offline task and the source-image/hash, canonical-filter, parser, mask/render, route-smoke, and authorization gates remain closed."
sagemaker-qwen3-vl-8b-instruct-fp8,visual_mixed_6,6,0.95,,,,,,,unavailable_modern_screen_blocked,blocked_unavailable,local_agent/EXPERIMENT_MATRIX.md,,"No modern PA responses exist. Provider calls are outside this offline task and the source-image/hash, canonical-filter, parser, mask/render, route-smoke, and authorization gates remain closed."
gemini-3.5-flash,unchanged_3,3,0.95,,3718,,,,,raw_six_name_nonblank_3718_historical_3684_rule_not_applied,modern_measured_target_not_met,outputs/derived/precision_coverage.csv,722a0f763e31ad5d16838d979564c8f9bac80009e7533e1016e52e449476bd03,Operating point maximizes descriptive coverage among observed points meeting the predeclared 95% target; it is not a calibrated threshold.
gemini-3.5-flash,Pad,3,0.95,,3718,,,,,raw_six_name_nonblank_3718_historical_3684_rule_not_applied,modern_measured_target_not_met,outputs/derived/precision_coverage.csv,722a0f763e31ad5d16838d979564c8f9bac80009e7533e1016e52e449476bd03,Operating point maximizes descriptive coverage among observed points meeting the predeclared 95% target; it is not a calibrated threshold.
gemini-3.5-flash,Grid Warp,3,0.95,,3718,,,,,raw_six_name_nonblank_3718_historical_3684_rule_not_applied,modern_measured_target_not_met,outputs/derived/precision_coverage.csv,722a0f763e31ad5d16838d979564c8f9bac80009e7533e1016e52e449476bd03,Operating point maximizes descriptive coverage among observed points meeting the predeclared 95% target; it is not a calibrated threshold.
